,Month,BN,BR,BW,SN,SR,SW,RMW
0,2002-10-31,0.05553395970681054,0.002424303762897055,-0.06175198219435208,-0.02839066014842449,-0.016831260262477755,-0.04509915788970422,0.0462220917922378
1,2002-11-30,0.008809056407007382,0.12087543505923028,0.08310239205083868,0.07212167420713925,0.04803904296536929,0.0880005154940293,-0.0010942147601342017
2,2002-12-31,0.029705761361176447,0.045033280782963946,0.028921942396740632,0.018086445756521075,0.07280405106678761,0.036228618540201526,0.026343385456404703
3,2003-01-31,0.0005981507696978518,-0.06707537750636779,0.015347222904890554,-0.008971191498366804,-0.039483294834332536,-0.08573167530447098,-0.01808710997055995
4,2003-02-28,0.04467853470212169,0.030031934725987055,-0.008223914820615871,0.002411072447129412,-0.003822262450002013,0.013917531770916714,0.0102580276628421
5,2003-03-31,-0.05901941132765068,-0.08875728013638522,-0.09622543532444111,-0.09338380011389691,-0.11926885476233585,-0.16389869063714027,0.02604899553143017
6,2003-04-30,0.010653638186185147,-0.06576663395426995,0.09891028841949434,0.06965988270255791,0.07985151462081252,0.02850530521650075,-0.05666535648472625
7,2003-05-31,0.20699330433613158,0.12486609243854548,0.10375901857622603,0.19181018156354468,0.21238322166242393,0.19966604593262335,0.016912124796060024
8,2003-06-30,0.06387454750180054,0.12710890574832448,0.16099560249023856,0.1307043575335998,0.17657838858750133,0.16679763709927722,-0.012052972626844988
9,2003-07-31,0.05435393891500476,0.029602659011423362,0.014985093704130679,0.0753237540755344,0.08153818569304007,0.046224304925131125,0.024965723037600814
10,2003-08-31,0.2180797565102427,0.2044223751872771,0.14689980486365758,0.1358233358276971,0.11805333098995316,0.08257804338833795,0.04649892896261737
11,2003-09-30,0.07173309668772751,0.038039913364832804,0.009020411893820458,0.056888037729087945,0.046007508724282414,0.0005965887835918563,0.03721521070585146
12,2003-10-31,0.07172102684574579,0.008952914903044153,0.15669151338406012,0.03474525273596603,0.04197495404491951,0.05560264874333688,-0.08068314658971666
13,2003-11-30,0.033606189863276924,0.05538379771917084,0.05533942302149638,0.14581029992486705,0.11125859762068586,0.15402494666869465,-0.02136098717516717
14,2003-12-31,0.21138913094649484,0.1823933126290169,0.15503977174083894,0.19752294597290318,0.22359613757301447,0.27827777926696845,-0.013664050402888012
15,2004-01-31,-0.05579994980472132,-0.036295776983947106,0.021305670637238563,-0.13194136490975356,-0.12321513597739973,-0.11899125242772222,-0.03091266558543159
16,2004-02-29,-0.0012397448378677512,-0.013741081558792742,0.019402567863849546,-0.043861819341734706,-0.017962817104694013,-0.06557392020280609,0.007233726837734895
17,2004-03-31,0.04197964024630964,-0.02641764220628151,0.02373413976446595,-0.021729847177861167,-0.026604772009031875,-0.04236869234394462,-0.017193930817917355
